instructor_id,section_uuid
761703,"45adf63c-48c9-3659-8561-07556d2d4ddf"
761703,"c6280e23-5e43-3859-893e-540d94993529"
761703,"9395dc21-15d1-3fab-8d1f-6f3fe6114c48"
3677061,"b99e440b-39db-350a-81eb-b6eb1bd8b0bc"
761703,"ca1c841f-41d5-3298-bd25-01c65751f150"
3677061,"da41b0aa-2b81-378f-914e-39f3465eed19"
761703,"51c4dc00-1fc7-3c7c-98a1-eba112aa3e5d"
761703,"53f95c0f-4ea9-374c-9285-ac41c30ff720"
761703,"574d9b35-9c76-3380-8e83-bd883a078694"
761703,"8fc362a6-d94e-3ade-aee7-87796c567dcf"
761703,"d50e7478-e12f-3631-9122-141eb866dd9c"
761703,"b21564d2-2bc4-3b86-aa10-a4a3130eaebe"
788586,"8853d23e-64b1-3cf5-8551-550b874a3d42"
788586,"94339199-eaf3-3932-8637-9f68651cbf19"
761703,"0d72958a-291b-33d4-945e-86f6c4323db3"
761703,"dfb55b25-ac7a-3667-bb31-3f422c388cf2"
761703,"27be2077-fd69-3a2a-9e4d-6a96fce37503"
761703,"56ef2b0f-0776-3093-a6dd-da3ac8f24ca5"
3677061,"ad67e659-fbf4-32a8-aa58-71c8a9f9a558"
3677061,"e80fe1ab-6b0b-32d1-933c-ba715435d4b7"
3677061,"84f5118d-b1c2-3a1d-beb0-6d8a204b88df"
761703,"c72fe508-e5cb-311d-ab9c-ab66d9426d20"
761703,"1ab8bc7a-13bc-3531-9e73-5c01753bcd7c"
788586,"d6718082-bd04-3789-8010-fc117adf2bb9"
3677061,"6c32e394-bbae-3c62-8467-f8235b74e1a9"
761703,"9834a834-67ec-3b44-a62e-de5949af889d"
788586,"4e428a3b-8079-331d-944b-706dad913ad5"
761703,"d485ada6-f0dc-35ed-86ad-a9e949025509"
788586,"2c983272-9f46-3d93-89c9-0d4f48ff6085"
761703,"a7a1c103-480d-3724-af98-39ef2166c09d"
788586,"0d645c4c-917c-383e-ae11-dced26704760"
761703,"d53b52c5-7538-3e42-a04b-ed0116904d4c"
788586,"9465796d-7f08-3569-ac22-92b20cd245a1"
3677061,"86a1c582-983c-3dbf-bc37-0cbd28407651"
761703,"6fedc217-81a8-3bc4-9d57-5e10481282dc"
761703,"d7ba74dc-2da5-39ba-845d-0422fb1909ec"
788586,"b0e86f13-692f-3f7d-8572-c94a8e7d1f07"
761703,"92b2f9fb-c307-3c88-bb39-1967ca87cf84"
788586,"6a348bd8-2228-383b-95af-6513cceb0b67"
788586,"d0c940ba-86a6-3193-85c5-555caaa149a8"
761703,"8e0a869e-4edf-30d9-846d-7a56a34b22d4"
761703,"8bed3b45-77bf-38d3-a643-bf9bbe013864"
761703,"66c26cf2-0a7a-36cd-94e0-ded8ccfda070"
761703,"51c98a53-54d4-3e5f-8428-48dcd3ead033"
761703,"156bd3bf-1ce2-3ff2-b7a7-6742a819b803"
761703,"0573b505-f96d-3a54-beef-1404794feb06"
3677061,"33f2fc40-98ff-30ad-ae7a-7d21e70e1aa4"
3677061,"e2cc5f22-312c-3810-a480-05caa7473e7e"
761703,"e2a092b8-4b65-370f-9426-68a7771c2511"
3677061,"022da461-37bf-35c3-9b02-46c01b004f2a"
3677061,"72581938-22cf-3887-93d0-71e905079073"
761703,"257e2fa4-bf03-3a67-927d-178691b2fa4c"
761703,"e24aa382-c246-3739-8272-777ee0b709bf"
3677061,"0ac17c4f-9803-371c-b9d2-efe4befdb779"
761703,"34723ecd-04a4-3899-9dac-1e5418b01032"
761703,"11c416c3-f428-3ba8-b65b-089183310409"
3677061,"5fc90e6c-6c0b-35d4-b3ed-2c4075a3a16a"
761703,"feaa3c53-3130-363e-9683-281def0ed1e0"
761703,"d74aa256-e8fe-3708-a24b-709493115802"
1600463,"214c946a-f56b-365b-a144-1d16049399ed"
693634,"5dffed06-3e1b-309a-92c9-4b755e20a7e8"
590599,"e3718659-dd65-30d3-987c-6b4092e85d72"
664097,"24085c2b-1756-320d-971a-a8cf64a78db0"
2600979,"2187b6fd-09fb-3bce-92cf-e86978c295e1"
590599,"812ccf3d-adf8-369c-954a-5beae39db404"
693634,"cf401f5b-dc6b-3336-96d9-5ba4bbe049a7"
664097,"f98aa8e6-51b7-35f0-b529-0048d4581bf3"
4847746,"bbe3a638-eebb-380f-9d17-585f6ff37040"
664097,"96049783-b9b5-3650-b215-21d4ee5a39d4"
590599,"c2dce660-bf77-3811-a2f3-016bbfd3213f"
693634,"82a9f200-738c-3a77-bcf7-5387c332104c"
4847746,"eb4b50ae-da38-3d01-b8da-393174579941"
664097,"ac5c3fe9-98e1-32f4-a2fb-34e46c6b2718"
4847746,"089004aa-e461-3abc-88f2-c8f88e6330a7"
3213425,"ce12014e-e079-341c-8c17-2ba0b3745ac2"
635534,"5441cde6-674e-313f-a8e0-13bd1e10bc5f"
664097,"b4dfa768-9b97-37c8-baf3-dab7eca20769"
4255998,"8cf03083-32fa-3312-a91e-20de9c688a4a"
2600979,"d7c13f06-c714-3118-af6a-c7398dd7e813"
693634,"a19a6852-e4a6-3419-b2eb-cfcd168ec22f"
664097,"c490b2f1-2c6d-34b6-8c90-f25f9992621b"
2600979,"5c8518d2-fb35-3681-953b-3688e675d2d2"
4255998,"36ef62d9-1053-311e-adb4-8048a078a1c3"
664097,"897dc0dd-83d0-3910-a407-0ebb49a69f9c"
664097,"9fd82644-b44d-351c-a067-b1aacba395bb"
2600979,"a24b6620-2946-39c4-950c-837eb3135849"
693634,"7e0bf571-b749-3d33-be3d-811ad6a00a87"
4847746,"5fd4599e-5f00-3931-8592-5d15b17f9dd6"
664097,"a9f2348f-3649-3349-a80b-6854c178f215"
590599,"c0f0983a-d651-3442-8318-bb5709a5e01a"
4616626,"542b2910-5ec8-364d-ab35-b5067046c4ff"
664097,"2acfc58a-cea4-3028-89d9-2a6222fa7801"
693634,"30e7d0a9-5008-3937-a8c2-8cca9224517f"
1029263,"63901cc2-3622-3b12-a368-af005e9ad526"
5629986,"932ca58e-bef5-3dce-b42e-e14060984125"
724351,"1c17e6c5-a935-30c6-9590-f558ad32475e"
5629986,"e598cd39-a6cc-3cf8-b594-e6f48bfd98fc"
3332281,"db4779d9-e8e4-3ce6-b3f3-d2f9c81d4c2f"
1656676,"06db1e8e-5979-3c3e-a616-18558b39123a"
724351,"cefce24c-5549-3bb0-9dbb-316fc324323e"
3152109,"09ddc7b4-5635-31ef-be39-c6e7ee93dea6"
724351,"a135db3a-42bf-3870-8764-d6049f93cafc"
3152109,"b6212c18-8f9e-3916-9441-4eb101f7a9b1"
1029263,"6b5bfe10-4755-3c06-8eee-add4a37583cb"
1656676,"ffd97b1d-4f35-31c6-be22-dd8cc481e0b2"
1663711,"17d0cc99-24db-3ad7-b425-71ab02d0a102"
724351,"a9f9e59e-d12e-3576-8436-c8318e3766a2"
5629986,"fd827113-e55d-3144-a6cc-d6158261b98a"
