course_offering_uuid,section_number,a_count,ab_count,b_count,bc_count,c_count,d_count,f_count,s_count,u_count,cr_count,n_count,p_count,i_count,nw_count,nr_count,other_count
"344b3ebe-da7e-314c-83ed-9425269695fd",1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f718e6cd-33f0-3c14-a9a6-834d9c3610a8",1,158,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ea3b717c-d66b-30dc-8b37-964d9688295f",1,139,12,2,0,3,0,0,0,0,0,0,0,0,0,0,0
"075da420-5f49-3dd0-93df-13e3c152e1b1",1,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2b4e216d-a728-3713-8c7c-19afffc6b2fd",1,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"87966a7b-f676-33d0-83d2-acdb67da6790",1,79,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"ff511882-5eab-3e7b-a89f-8fbfd1906127",1,114,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0
"b3e26604-fe6e-30df-bc91-b5fa57717a7e",1,105,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"e100d196-5e82-32e4-80e9-ac45c07a498c",1,107,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"76b9c458-d3c2-38c4-951f-69b6900bd7fe",1,129,8,2,0,1,1,0,0,0,0,0,0,3,0,0,0
"2cd95315-cc90-33d6-9670-6d4eaddb7104",1,135,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"b729bdbf-c272-3d36-ba1b-b428217b037b",1,111,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"c94b0026-46e5-3183-9e02-f0d8616b020e",1,114,3,1,0,2,2,0,0,0,0,0,0,1,0,0,0
"e6fe4acb-9375-3b46-9d16-6d6ae716d80a",1,118,6,2,0,1,1,1,0,0,0,0,0,15,0,0,0
"73eb2c88-a7c0-36db-872f-b2fc0c1c956d",1,137,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0
"f12c576b-a86e-36a5-b306-2e9f16f4fa7e",1,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"04a206fe-cf6a-3c75-b684-f7e1422797e5",1,146,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"f84c7f22-aa01-3d7d-90f1-c592f0d56841",1,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7b8aa2b9-560f-34a6-aa4b-153d1abfb542",1,147,26,4,0,1,1,0,0,0,0,0,0,5,0,0,0
"a4f39010-e771-3375-abce-4fa0bdb01139",1,121,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"e2b91cd9-7941-319c-a3da-5f682c9d06eb",1,123,20,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"5da2e500-1b41-3adf-8e03-0614ae7803ab",1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aa84af10-b176-3fdc-806b-ad7e4d45c93f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a153948c-6fec-3de3-9a6d-3a7210340815",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a153948c-6fec-3de3-9a6d-3a7210340815",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a153948c-6fec-3de3-9a6d-3a7210340815",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"684d5dd7-5964-33ef-81e5-d4070e7b7013",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
